date;name;value;type
2024-02-19;stl_stats;1734.39323671929;t
2024-02-19;x11;1752.8865581417;t
2024-02-20;rjdverse;1754.95148899163;t
2024-02-20;prophet;1782.54636187101;t
2024-02-20;tbats;1737.93599546246;t
2024-02-20;mstl;1737.37058875205;t
2024-02-20;stl;1737.37058875205;t
2024-02-20;stl_stats;1734.34613566816;t
2024-02-20;x11;1752.65362473014;t
2024-02-21;rjdverse;1754.84989858467;t
2024-02-21;prophet;1782.44707320612;t
2024-02-21;tbats;1687.57634822346;t
2024-02-21;mstl;1737.2055082367;t
2024-02-21;stl;1737.2055082367;t
2024-02-21;stl_stats;1734.53845601605;t
2024-02-21;x11;1752.41450802335;t
2024-02-22;rjdverse;1754.74627633635;t
2024-02-22;prophet;1782.34778454124;t
2024-02-22;tbats;1792.94083783439;t
2024-02-22;mstl;1737.04042772135;t
2024-02-22;stl;1737.04042772135;t
2024-02-22;stl_stats;1734.32672769665;t
2024-02-22;x11;1752.16928011078;t
2024-02-23;rjdverse;1754.63128892039;t
2024-02-23;prophet;1782.24849587635;t
2024-02-23;tbats;1798.97454417157;t
2024-02-23;mstl;1736.87534720599;t
2024-02-23;stl;1736.87534720599;t
2024-02-23;stl_stats;1734.3292058362;t
2024-02-23;x11;1751.91801352759;t
2024-02-24;rjdverse;1754.50073092623;t
2024-02-24;prophet;1782.14920721147;t
2024-02-24;tbats;1827.15717686498;t
2024-02-24;mstl;1736.71026669064;t
2024-02-24;stl;1736.71026669064;t
2024-02-24;stl_stats;1734.18116916737;t
2024-02-24;x11;1751.6607841953;t
2024-02-25;rjdverse;1754.3523531149;t
2024-02-25;prophet;1782.04991854659;t
2024-02-25;tbats;1903.94652234338;t
2024-02-25;mstl;1736.54518617529;t
2024-02-25;stl;1736.54518617529;t
2024-02-25;stl_stats;1734.13139512592;t
2024-02-25;x11;1751.39767121212;t
2024-02-26;rjdverse;1754.18526890778;t
2024-02-26;prophet;1781.9506298817;t
2024-02-26;tbats;1777.48993915689;t
2024-02-26;mstl;1736.38010565994;t
2024-02-26;stl;1736.38010565994;t
2024-02-26;stl_stats;1733.49186685628;t
2024-02-26;x11;1751.12875786964;t
2024-02-27;rjdverse;1754.00732875242;t
2024-02-27;prophet;1781.85134121682;t
2024-02-27;tbats;1710.64703468648;t
2024-02-27;mstl;1736.21502514459;t
2024-02-27;stl;1736.21502514459;t
2024-02-27;stl_stats;1733.67490279145;t
2024-02-27;x11;1750.85412951993;t
2024-02-28;rjdverse;1753.82182047197;t
2024-02-28;prophet;1781.75205255193;t
2024-02-28;tbats;1730.14024586837;t
2024-02-28;mstl;1736.04994462924;t
2024-02-28;stl;1736.04994462924;t
2024-02-28;stl_stats;1734.08914094755;t
2024-02-28;x11;1750.57387575871;t
2024-02-29;rjdverse;1753.63562438913;t
2024-02-29;prophet;1781.65276388705;t
2024-02-29;tbats;1612.80560478798;t
2024-02-29;mstl;1735.88486411389;t
2024-02-29;stl;1735.88486411389;t
2024-02-29;stl_stats;1734.00070029939;t
2024-02-29;x11;1750.28808910321;t
2024-03-01;rjdverse;1753.46125390259;t
2024-03-01;prophet;1781.55347522216;t
2024-03-01;tbats;1689.80523152994;t
2024-03-01;mstl;1735.71978359854;t
2024-03-01;stl;1735.71978359854;t
2024-03-01;stl_stats;1734.01413734305;t
2024-03-01;x11;1749.99686650047;t
2024-03-02;rjdverse;1753.29353566921;t
2024-03-02;prophet;1781.45418655728;t
2024-03-02;tbats;1747.14878516448;t
2024-03-02;mstl;1735.55470308318;t
2024-03-02;stl;1735.55470308318;t
2024-03-02;stl_stats;1733.98938834546;t
2024-03-02;x11;1749.7003064878;t
2024-03-03;rjdverse;1753.12189267316;t
2024-03-03;prophet;1781.35489789239;t
2024-03-03;tbats;1823.66037650542;t
2024-03-03;mstl;1735.38962256783;t
2024-03-03;stl;1735.38962256783;t
2024-03-03;stl_stats;1734.18344992044;t
2024-03-03;x11;1749.39851116963;t
2024-03-04;rjdverse;1752.9449686117;t
2024-03-04;prophet;1781.25560922751;t
2024-03-04;tbats;1744.4222264582;t
2024-03-04;mstl;1735.22454205248;t
2024-03-04;stl;1735.22454205248;t
2024-03-04;stl_stats;1733.49186685628;t
2024-03-04;x11;1749.09158526148;t
2024-03-05;rjdverse;1752.76599519875;t
2024-03-05;prophet;1781.15632056262;t
2024-03-05;tbats;1678.58895716927;t
2024-03-05;mstl;1735.05946153713;t
2024-03-05;stl;1735.05946153713;t
2024-03-05;stl_stats;1733.69134114762;t
2024-03-05;x11;1748.77963497284;t
2024-03-06;rjdverse;1752.58684195296;t
