;Asia * China;Asia * Japon;Asia * India
2018-09-01;-8,924712;-5,014785;-10,719649
2018-10-01;2,713707;7,660737;6,109149
2018-11-01;1,727056;1,843377;0,466126
2018-12-01;2,05738;-6,120718;-2,765222
2019-01-01;-0,654489;4,490707;3,811873
2019-02-01;1,545855;-0,816861;-0,508834
2019-03-01;-0,631816;1,257082;-2,583225
2019-04-01;1,378627;2,82796;-0,609927
2019-05-01;1,060214;1,901263;1,437016
2019-06-01;-7,018976;-18,670813;-13,628627
2019-07-01;11,782209;6,50475;-2,788583
2019-08-01;-6,111704;-5,886077;2,710462
2019-09-01;-4,900803;4,708275;-0,780316
2019-10-01;13,29806;0,192137;2,567809
2019-11-01;0,553611;-6,470984;-1,823945
2019-12-01;-0,124921;-1,674626;2,401588
2020-01-01;3,866601;-4,256524;-0,973456
2020-02-01;0,3708;11,302228;-1,094933
2020-03-01;-3,917414;-41,659578;-35,198293
2020-04-01;0,499658;-61,49094;-57,059289
2020-05-01;0,02921;-38,344011;-51,085194
2020-06-01;0,625931;-16,576576;-23,793827
2020-07-01;2,596817;-9,055011;-15,589935
2020-08-01;-1,865657;-5,287934;-14,444909
2020-09-01;0,198739;-3,717221;-6,927878
2020-10-01;0,891497;-10,832839;-11,142782
2020-11-01;-2,606506;-6,960555;-7,653399
2020-12-01;0,365142;1,990169;-5,606166
2021-01-01;-1,074562;-8,560202;-1,218018
2021-02-01;-0,733027;0,115318;1,251766
2021-03-01;5,821609;0,372876;-0,752536
2021-04-01;1,955089;3,371908;2,076501
2021-05-01;1,272815;-0,811297;-0,759336
2021-06-01;-3,615353;1,482546;-3,402502
2021-07-01;-9,746714;-3,888937;-2,370108
2021-08-01;-1,731329;-0,880505;2,087273
2021-09-01;3,171079;-5,269597;-3,043372
